latitude,longitude,year,tas
-89.5,-179.5,1999,-0.6009745
-89.5,-178.5,1999,-0.5997673
-89.5,-177.5,1999,-0.59857434
-89.5,-176.5,1999,-0.59739596
-89.5,-175.5,1999,-0.5962325
-89.5,-174.5,1999,-0.5950841
-89.5,-173.5,1999,-0.5939511
-89.5,-172.5,1999,-0.59283394
-89.5,-171.5,1999,-0.59173256
-89.5,-170.5,1999,-0.5906474
-89.5,-169.5,1999,-0.5895786
-89.5,-168.5,1999,-0.5885264
-89.5,-167.5,1999,-0.58749086
-89.5,-166.5,1999,-0.5864723
-89.5,-165.5,1999,-0.5854706
-89.5,-164.5,1999,-0.58448607
-89.5,-163.5,1999,-0.5835186
-89.5,-162.5,1999,-0.58256847
-89.5,-161.5,1999,-0.5816356
-89.5,-160.5,1999,-0.58071995
-89.5,-159.5,1999,-0.57982147
-89.5,-158.5,1999,-0.57894015
-89.5,-157.5,1999,-0.57807595
-89.5,-156.5,1999,-0.5772286
-89.5,-155.5,1999,-0.5763981
-89.5,-154.5,1999,-0.57558405
-89.5,-153.5,1999,-0.57478637
-89.5,-152.5,1999,-0.5740046
-89.5,-151.5,1999,-0.5732385
-89.5,-150.5,1999,-0.5724876
-89.5,-149.5,1999,-0.5717514
-89.5,-148.5,1999,-0.5710295
-89.5,-147.5,1999,-0.5703211
-89.5,-146.5,1999,-0.5696256
-89.5,-145.5,1999,-0.5689423
-89.5,-144.5,1999,-0.5682702
-89.5,-143.5,1999,-0.56760836
-89.5,-142.5,1999,-0.56695575
-89.5,-141.5,1999,-0.56631106
-89.5,-140.5,1999,-0.56567305
-89.5,-139.5,1999,-0.5650401
-89.5,-138.5,1999,-0.5644107
-89.5,-137.5,1999,-0.5637828
-89.5,-136.5,1999,-0.56315446
-89.5,-135.5,1999,-0.5625234
-89.5,-134.5,1999,-0.5618871
-89.5,-133.5,1999,-0.5612427
-89.5,-132.5,1999,-0.5605872
-89.5,-131.5,1999,-0.55991715
-89.5,-130.5,1999,-0.5592287
-89.5,-129.5,1999,-0.5585179
-89.5,-128.5,1999,-0.55777997
-89.5,-127.5,1999,-0.55701005
-89.5,-126.5,1999,-0.5562027
-89.5,-125.5,1999,-0.555352
-89.5,-124.5,1999,-0.5544515
-89.5,-123.5,1999,-0.5534946
-89.5,-122.5,1999,-0.5524739
-89.5,-121.5,1999,-0.55138206
-89.5,-120.5,1999,-0.55022186
-89.5,-119.5,1999,-0.54906106
-89.5,-118.5,1999,-0.54790944
-89.5,-117.5,1999,-0.5467473
-89.5,-116.5,1999,-0.54557437
-89.5,-115.5,1999,-0.5443934
-89.5,-114.5,1999,-0.5432072
-89.5,-113.5,1999,-0.5420183
-89.5,-112.5,1999,-0.54082924
-89.5,-111.5,1999,-0.53964216
-89.5,-110.5,1999,-0.5384593
-89.5,-109.5,1999,-0.53728265
-89.5,-108.5,1999,-0.53611404
-89.5,-107.5,1999,-0.53495514
-89.5,-106.5,1999,-0.53380764
-89.5,-105.5,1999,-0.53267294
-89.5,-104.5,1999,-0.53155243
-89.5,-103.5,1999,-0.5304473
-89.5,-102.5,1999,-0.5293588
-89.5,-101.5,1999,-0.528288
-89.5,-100.5,1999,-0.5272359
-89.5,-99.5,1999,-0.52620345
-89.5,-98.5,1999,-0.5251915
-89.5,-97.5,1999,-0.52420086
-89.5,-96.5,1999,-0.5232322
-89.5,-95.5,1999,-0.5222864
-89.5,-94.5,1999,-0.52136403
-89.5,-93.5,1999,-0.52046573
-89.5,-92.5,1999,-0.5195919
-89.5,-91.5,1999,-0.5187434
-89.5,-90.5,1999,-0.51792043
-89.5,-89.5,1999,-0.51712364
-89.5,-88.5,1999,-0.51635337
-89.5,-87.5,1999,-0.51561004
-89.5,-86.5,1999,-0.51489407
-89.5,-85.5,1999,-0.51420575
-89.5,-84.5,1999,-0.51354545
-89.5,-83.5,1999,-0.51291347
-89.5,-82.5,1999,-0.5123101
-89.5,-81.5,1999,-0.51173556
-89.5,-80.5,1999,-0.5111901
-89.5,-79.5,1999,-0.510674
-89.5,-78.5,1999,-0.5101874
-89.5,-77.5,1999,-0.5097304
-89.5,-76.5,1999,-0.50930333
-89.5,-75.5,1999,-0.50890625
-89.5,-74.5,1999,-0.5085393
-89.5,-73.5,1999,-0.50820255
-89.5,-72.5,1999,-0.5078962
-89.5,-71.5,1999,-0.5076202
-89.5,-70.5,1999,-0.5073747
-89.5,-69.5,1999,-0.50715977
-89.5,-68.5,1999,-0.5069754
-89.5,-67.5,1999,-0.5068216
-89.5,-66.5,1999,-0.50669837
-89.5,-65.5,1999,-0.50660574
-89.5,-64.5,1999,-0.50654376
-89.5,-63.5,1999,-0.5065123
-89.5,-62.5,1999,-0.5065113
-89.5,-61.5,1999,-0.5065408
-89.5,-60.5,1999,-0.5066006
-89.5,-59.5,1999,-0.50669074
-89.5,-58.5,1999,-0.5068111
-89.5,-57.5,1999,-0.5069615
-89.5,-56.5,1999,-0.50714195
-89.5,-55.5,1999,-0.5073522
-89.5,-54.5,1999,-0.50759214
-89.5,-53.5,1999,-0.5078616
-89.5,-52.5,1999,-0.50816053
-89.5,-51.5,1999,-0.50848866
-89.5,-50.5,1999,-0.5088458
-89.5,-49.5,1999,-0.50923175
-89.5,-48.5,1999,-0.5096463
-89.5,-47.5,1999,-0.5100893
-89.5,-46.5,1999,-0.51056045
-89.5,-45.5,1999,-0.5110595
-89.5,-44.5,1999,-0.51158625
-89.5,-43.5,1999,-0.5121404
-89.5,-42.5,1999,-0.51272166
-89.5,-41.5,1999,-0.51332974
-89.5,-40.5,1999,-0.5139644
-89.5,-39.5,1999,-0.5146253
-89.5,-38.5,1999,-0.5153121
-89.5,-37.5,1999,-0.5160244
-89.5,-36.5,1999,-0.516762
-89.5,-35.5,1999,-0.5175245
-89.5,-34.5,1999,-0.5183113
-89.5,-33.5,1999,-0.5191224
-89.5,-32.5,1999,-0.5199572
-89.5,-31.5,1999,-0.52081513
-89.5,-30.5,1999,-0.521696
-89.5,-29.5,1999,-0.5225993
-89.5,-28.5,1999,-0.52352446
-89.5,-27.5,1999,-0.5244711
-89.5,-26.5,1999,-0.5254387
-89.5,-25.5,1999,-0.52642673
-89.5,-24.5,1999,-0.52743465
-89.5,-23.5,1999,-0.5284619
-89.5,-22.5,1999,-0.5295078
-89.5,-21.5,1999,-0.5305718
-89.5,-20.5,1999,-0.53165334
-89.5,-19.5,1999,-0.53275156
-89.5,-18.5,1999,-0.5338658
-89.5,-17.5,1999,-0.5349954
-89.5,-16.5,1999,-0.5361394
-89.5,-15.5,1999,-0.53729707
-89.5,-14.5,1999,-0.53846747
-89.5,-13.5,1999,-0.53964967
-89.5,-12.5,1999,-0.54084265
-89.5,-11.5,1999,-0.5420453
-89.5,-10.5,1999,-0.5432565
-89.5,-9.5,1999,-0.5444751
-89.5,-8.5,1999,-0.54569966
-89.5,-7.5,1999,-0.54692894
-89.5,-6.5,1999,-0.5481613
-89.5,-5.5,1999,-0.5493954
-89.5,-4.5,1999,-0.5506293
-89.5,-3.5,1999,-0.5518615
-89.5,-2.5,1999,-0.5530901
-89.5,-1.5,1999,-0.55431324
-89.5,-0.5,1999,-0.5555312
-89.5,0.5,1999,-0.5567575
-89.5,1.5,1999,-0.55799145
-89.5,2.5,1999,-0.55921656
-89.5,3.5,1999,-0.5604318
-89.5,4.5,1999,-0.56163853
-89.5,5.5,1999,-0.5628382
-89.5,6.5,1999,-0.56403196
-89.5,7.5,1999,-0.565221
-89.5,8.5,1999,-0.5664064
-89.5,9.5,1999,-0.56758916
-89.5,10.5,1999,-0.56877
-89.5,11.5,1999,-0.56994975
-89.5,12.5,1999,-0.571129
-89.5,13.5,1999,-0.5723084
-89.5,14.5,1999,-0.5734884
-89.5,15.5,1999,-0.57466936
-89.5,16.5,1999,-0.5758516
-89.5,17.5,1999,-0.5770355
-89.5,18.5,1999,-0.5782212
-89.5,19.5,1999,-0.57940894
-89.5,20.5,1999,-0.5805988
-89.5,21.5,1999,-0.58179075
-89.5,22.5,1999,-0.58298504
-89.5,23.5,1999,-0.58418155
-89.5,24.5,1999,-0.5853803
-89.5,25.5,1999,-0.58658123
-89.5,26.5,1999,-0.5877843
-89.5,27.5,1999,-0.5889894
-89.5,28.5,1999,-0.5901964
-89.5,29.5,1999,-0.5914051
-89.5,30.5,1999,-0.5926155
-89.5,31.5,1999,-0.59382725
-89.5,32.5,1999,-0.59504026
-89.5,33.5,1999,-0.5962544
-89.5,34.5,1999,-0.5974694
-89.5,35.5,1999,-0.5986851
-89.5,36.5,1999,-0.59990114
-89.5,37.5,1999,-0.6011174
-89.5,38.5,1999,-0.6023336
-89.5,39.5,1999,-0.60354954
-89.5,40.5,1999,-0.60476494
-89.5,41.5,1999,-0.6059795
-89.5,42.5,1999,-0.60719305
-89.5,43.5,1999,-0.60840523
-89.5,44.5,1999,-0.6096158
-89.5,45.5,1999,-0.6108245
-89.5,46.5,1999,-0.61203104
-89.5,47.5,1999,-0.6132351
-89.5,48.5,1999,-0.6144365
-89.5,49.5,1999,-0.6156348
-89.5,50.5,1999,-0.6168299
-89.5,51.5,1999,-0.61802125
-89.5,52.5,1999,-0.6192088
-89.5,53.5,1999,-0.6203921
-89.5,54.5,1999,-0.62157094
-89.5,55.5,1999,-0.622745
-89.5,56.5,1999,-0.6239139
-89.5,57.5,1999,-0.6250774
-89.5,58.5,1999,-0.62623525
-89.5,59.5,1999,-0.62738705
-89.5,60.5,1999,-0.6285326
-89.5,61.5,1999,-0.62967145
-89.5,62.5,1999,-0.63080335
-89.5,63.5,1999,-0.6319281
-89.5,64.5,1999,-0.63304526
-89.5,65.5,1999,-0.6341545
-89.5,66.5,1999,-0.63525563
-89.5,67.5,1999,-0.63634825
-89.5,68.5,1999,-0.63743204
-89.5,69.5,1999,-0.6385067
-89.5,70.5,1999,-0.63957196
-89.5,71.5,1999,-0.64062744
-89.5,72.5,1999,-0.6416728
-89.5,73.5,1999,-0.64270777
-89.5,74.5,1999,-0.643732
-89.5,75.5,1999,-0.6447452
-89.5,76.5,1999,-0.64574695
-89.5,77.5,1999,-0.646737
-89.5,78.5,1999,-0.6477149
-89.5,79.5,1999,-0.6486805
-89.5,80.5,1999,-0.6496333
-89.5,81.5,1999,-0.65057296
-89.5,82.5,1999,-0.65149915
-89.5,83.5,1999,-0.6524115
-89.5,84.5,1999,-0.65330964
-89.5,85.5,1999,-0.6541932
-89.5,86.5,1999,-0.65506184
-89.5,87.5,1999,-0.6559151
-89.5,88.5,1999,-0.6567525
-89.5,89.5,1999,-0.65757376
-89.5,90.5,1999,-0.65837836
-89.5,91.5,1999,-0.6591659
-89.5,92.5,1999,-0.65993595
