-89.5,-179.5,1995,-0.52970845
-89.5,-178.5,1995,-0.52939576
-89.5,-177.5,1995,-0.5290772
-89.5,-176.5,1995,-0.5287527
-89.5,-175.5,1995,-0.52842224
-89.5,-174.5,1995,-0.5280859
-89.5,-173.5,1995,-0.52774364
-89.5,-172.5,1995,-0.5273955
-89.5,-171.5,1995,-0.5270415
-89.5,-170.5,1995,-0.52668154
-89.5,-169.5,1995,-0.52631575
-89.5,-168.5,1995,-0.52594405
-89.5,-167.5,1995,-0.52556646
-89.5,-166.5,1995,-0.52518296
-89.5,-165.5,1995,-0.5247936
-89.5,-164.5,1995,-0.5243983
-89.5,-163.5,1995,-0.52399707
-89.5,-162.5,1995,-0.52358985
-89.5,-161.5,1995,-0.5231767
-89.5,-160.5,1995,-0.5227575
-89.5,-159.5,1995,-0.52233225
-89.5,-158.5,1995,-0.5219009
-89.5,-157.5,1995,-0.5214634
-89.5,-156.5,1995,-0.5210197
-89.5,-155.5,1995,-0.52056974
-89.5,-154.5,1995,-0.5201135
-89.5,-153.5,1995,-0.5196508
-89.5,-152.5,1995,-0.5191817
-89.5,-151.5,1995,-0.51870596
-89.5,-150.5,1995,-0.51822346
-89.5,-149.5,1995,-0.5177341
-89.5,-148.5,1995,-0.51723784
-89.5,-147.5,1995,-0.51673436
-89.5,-146.5,1995,-0.51622355
-89.5,-145.5,1995,-0.5157052
-89.5,-144.5,1995,-0.51517904
-89.5,-143.5,1995,-0.5146448
-89.5,-142.5,1995,-0.5141022
-89.5,-141.5,1995,-0.513551
-89.5,-140.5,1995,-0.5129907
-89.5,-139.5,1995,-0.5124209
-89.5,-138.5,1995,-0.5118411
-89.5,-137.5,1995,-0.511251
-89.5,-136.5,1995,-0.5106497
-89.5,-135.5,1995,-0.51003677
-89.5,-134.5,1995,-0.5094114
-89.5,-133.5,1995,-0.5087728
-89.5,-132.5,1995,-0.50812
-89.5,-131.5,1995,-0.5074521
-89.5,-130.5,1995,-0.50676787
-89.5,-129.5,1995,-0.50606614
-89.5,-128.5,1995,-0.5053455
-89.5,-127.5,1995,-0.5046046
-89.5,-126.5,1995,-0.5038415
-89.5,-125.5,1995,-0.5030546
-89.5,-124.5,1995,-0.50224197
-89.5,-123.5,1995,-0.5014015
-89.5,-122.5,1995,-0.50053096
-89.5,-121.5,1995,-0.4996281
-89.5,-120.5,1995,-0.49869415
-89.5,-119.5,1995,-0.49775258
-89.5,-118.5,1995,-0.49681062
-89.5,-117.5,1995,-0.49587956
-89.5,-116.5,1995,-0.49496013
-89.5,-115.5,1995,-0.49405146
-89.5,-114.5,1995,-0.49315265
-89.5,-113.5,1995,-0.49226293
-89.5,-112.5,1995,-0.49138153
-89.5,-111.5,1995,-0.49050772
-89.5,-110.5,1995,-0.48964098
-89.5,-109.5,1995,-0.4887807
-89.5,-108.5,1995,-0.48792645
-89.5,-107.5,1995,-0.48707777
-89.5,-106.5,1995,-0.48623437
-89.5,-105.5,1995,-0.48539585
-89.5,-104.5,1995,-0.48456204
-89.5,-103.5,1995,-0.4837326
-89.5,-102.5,1995,-0.4829075
-89.5,-101.5,1995,-0.48208645
-89.5,-100.5,1995,-0.48126945
-89.5,-99.5,1995,-0.48045635
-89.5,-98.5,1995,-0.47964716
-89.5,-97.5,1995,-0.47884178
-89.5,-96.5,1995,-0.47804025
-89.5,-95.5,1995,-0.4772425
-89.5,-94.5,1995,-0.47644866
-89.5,-93.5,1995,-0.4756587
-89.5,-92.5,1995,-0.4748727
-89.5,-91.5,1995,-0.47409067
-89.5,-90.5,1995,-0.4733127
-89.5,-89.5,1995,-0.47253892
-89.5,-88.5,1995,-0.47176942
-89.5,-87.5,1995,-0.47100422
-89.5,-86.5,1995,-0.47024345
-89.5,-85.5,1995,-0.46948725
-89.5,-84.5,1995,-0.46873575
-89.5,-83.5,1995,-0.467989
-89.5,-82.5,1995,-0.46724716
-89.5,-81.5,1995,-0.46651033
-89.5,-80.5,1995,-0.46577868
-89.5,-79.5,1995,-0.46505234
-89.5,-78.5,1995,-0.4643314
-89.5,-77.5,1995,-0.463616
-89.5,-76.5,1995,-0.46290627
-89.5,-75.5,1995,-0.46220237
-89.5,-74.5,1995,-0.46150443
-89.5,-73.5,1995,-0.4608126
-89.5,-72.5,1995,-0.460127
-89.5,-71.5,1995,-0.45944774
-89.5,-70.5,1995,-0.458775
-89.5,-69.5,1995,-0.4581089
-89.5,-68.5,1995,-0.4574496
-89.5,-67.5,1995,-0.4567972
-89.5,-66.5,1995,-0.45615193
-89.5,-65.5,1995,-0.45551375
-89.5,-64.5,1995,-0.45488298
-89.5,-63.5,1995,-0.45425963
-89.5,-62.5,1995,-0.45364392
-89.5,-61.5,1995,-0.45303595
-89.5,-60.5,1995,-0.45243588
-89.5,-59.5,1995,-0.4518438
-89.5,-58.5,1995,-0.45125988
-89.5,-57.5,1995,-0.45068425
-89.5,-56.5,1995,-0.45011702
-89.5,-55.5,1995,-0.44955838
-89.5,-54.5,1995,-0.4490084
-89.5,-53.5,1995,-0.44846722
-89.5,-52.5,1995,-0.44793507
-89.5,-51.5,1995,-0.44741198
-89.5,-50.5,1995,-0.44689813
-89.5,-49.5,1995,-0.44639373
-89.5,-48.5,1995,-0.44589877
-89.5,-47.5,1995,-0.44541344
-89.5,-46.5,1995,-0.44493788
-89.5,-45.5,1995,-0.44447234
-89.5,-44.5,1995,-0.44401678
-89.5,-43.5,1995,-0.4435715
-89.5,-42.5,1995,-0.44313654
-89.5,-41.5,1995,-0.4427121
-89.5,-40.5,1995,-0.44229832
