,Region,Time period,Glacier category - tw=tidewater (marine-terminating); ntw=non-tidewater (land-terminating); all=all glaciers,Mean elevation change rate (m yr-1),Mass change rate (Gt yr-1),Regional area observed at least once a year (%) (relevant only for yearly rates),Glacier area of RGI 6.0 (m²),Estimated time-varying RGI glacier area (m²),Longitude of region centroid,Latitude of region centroid,start_year,end_year,year,elevation_change_rate,mass_change_rate
545,Global,2002-01-01_2003-01-01,all,-0.39,-231.69,0.68,705995929000,702335399198.79,,,2002-01-01,2003-01-01,2003,-0.39,-231.69
546,Global,2003-01-01_2004-01-01,all,-0.4,-235.48,0.73,705995929000,700058203000.01,,,2003-01-01,2004-01-01,2004,-0.4,-235.48
547,Global,2004-01-01_2005-01-01,all,-0.4,-235.51,0.72,705995929000,697781006770.38,,,2004-01-01,2005-01-01,2005,-0.4,-235.51
548,Global,2005-01-01_2006-01-01,all,-0.41,-244.08,0.67,705995929000,695504110541.15,,,2005-01-01,2006-01-01,2006,-0.41,-244.08
549,Global,2006-01-01_2007-01-01,all,-0.41,-243.61,0.66,705995929000,693227014342.37,,,2006-01-01,2007-01-01,2007,-0.41,-243.61
550,Global,2007-01-01_2008-01-01,all,-0.43,-254.61,0.58,705995929000,690949868143.19,,,2007-01-01,2008-01-01,2008,-0.43,-254.61
551,Global,2008-01-01_2009-01-01,all,-0.46,-268.4,0.46,705995929000,688672771913.55,,,2008-01-01,2009-01-01,2009,-0.46,-268.4
552,Global,2009-01-01_2010-01-01,all,-0.47,-274.65,0.61,705995929000,686395575684.32,,,2009-01-01,2010-01-01,2010,-0.47,-274.65
553,Global,2010-01-01_2011-01-01,all,-0.48,-280.46,0.57,705995929000,684118479485.55,,,2010-01-01,2011-01-01,2011,-0.48,-280.46
554,Global,2011-01-01_2012-01-01,all,-0.49,-286.4,0.45,705995929000,681841333286.36,,,2011-01-01,2012-01-01,2012,-0.49,-286.4
555,Global,2012-01-01_2013-01-01,all,-0.48,-278.73,0.71,705995929000,679564187056.73,,,2012-01-01,2013-01-01,2013,-0.48,-278.73
556,Global,2013-01-01_2014-01-01,all,-0.51,-292.95,0.76,705995929000,677287190857.95,,,2013-01-01,2014-01-01,2014,-0.51,-292.95
557,Global,2014-01-01_2015-01-01,all,-0.5,-285.15,0.8,705995929000,675010094659.17,,,2014-01-01,2015-01-01,2015,-0.5,-285.15
558,Global,2015-01-01_2016-01-01,all,-0.49,-281.8,0.82,705995929000,672732898429.54,,,2015-01-01,2016-01-01,2016,-0.49,-281.8
559,Global,2016-01-01_2017-01-01,all,-0.54,-308.42,0.84,705995929000,670455952199.9,,,2016-01-01,2017-01-01,2017,-0.54,-308.42
560,Global,2017-01-01_2018-01-01,all,-0.5,-285.05,0.84,705995929000,668178856001.12,,,2017-01-01,2018-01-01,2018,-0.5,-285.05
561,Global,2018-01-01_2019-01-01,all,-0.52,-294.77,0.69,705995929000,665901659802.35,,,2018-01-01,2019-01-01,2019,-0.52,-294.77
562,Global,2019-01-01_2020-01-01,all,-0.56,-318.47,0.7,705995929000,663624613572.71,,,2019-01-01,2020-01-01,2020,-0.56,-318.47
