latitude,longitude,year,tas
-89.5,-179.5,2005,1.2996144
-89.5,-178.5,2005,1.2993436
-89.5,-177.5,2005,1.2990617
-89.5,-176.5,2005,1.2987689
-89.5,-175.5,2005,1.2984653
-89.5,-174.5,2005,1.2981509
-89.5,-173.5,2005,1.2978259
-89.5,-172.5,2005,1.2974905
-89.5,-171.5,2005,1.2971447
-89.5,-170.5,2005,1.2967885
-89.5,-169.5,2005,1.296422
-89.5,-168.5,2005,1.2960454
-89.5,-167.5,2005,1.2956588
-89.5,-166.5,2005,1.2952623
-89.5,-165.5,2005,1.2948561
-89.5,-164.5,2005,1.29444
-89.5,-163.5,2005,1.2940143
-89.5,-162.5,2005,1.2935792
-89.5,-161.5,2005,1.2931347
-89.5,-160.5,2005,1.2926809
-89.5,-159.5,2005,1.2922179
-89.5,-158.5,2005,1.2917457
-89.5,-157.5,2005,1.2912644
-89.5,-156.5,2005,1.2907743
-89.5,-155.5,2005,1.2902755
-89.5,-154.5,2005,1.2897679
-89.5,-153.5,2005,1.2892516
-89.5,-152.5,2005,1.2887268
-89.5,-151.5,2005,1.2881935
-89.5,-150.5,2005,1.2876518
-89.5,-149.5,2005,1.2871017
-89.5,-148.5,2005,1.2865434
-89.5,-147.5,2005,1.2859769
-89.5,-146.5,2005,1.2854022
-89.5,-145.5,2005,1.2848192
-89.5,-144.5,2005,1.2842282
-89.5,-143.5,2005,1.2836291
-89.5,-142.5,2005,1.2830218
-89.5,-141.5,2005,1.2824064
-89.5,-140.5,2005,1.2817829
-89.5,-139.5,2005,1.281151
-89.5,-138.5,2005,1.2805109
-89.5,-137.5,2005,1.2798623
-89.5,-136.5,2005,1.2792051
-89.5,-135.5,2005,1.2785393
-89.5,-134.5,2005,1.2778645
-89.5,-133.5,2005,1.2771804
-89.5,-132.5,2005,1.2764871
-89.5,-131.5,2005,1.2757839
-89.5,-130.5,2005,1.2750705
-89.5,-129.5,2005,1.2743466
-89.5,-128.5,2005,1.2736115
-89.5,-127.5,2005,1.2728649
-89.5,-126.5,2005,1.272106
-89.5,-125.5,2005,1.2713343
-89.5,-124.5,2005,1.2705488
-89.5,-123.5,2005,1.2697488
-89.5,-122.5,2005,1.2689335
-89.5,-121.5,2005,1.2681018
-89.5,-120.5,2005,1.2672546
-89.5,-119.5,2005,1.2664018
-89.5,-118.5,2005,1.2655436
-89.5,-117.5,2005,1.2646701
-89.5,-116.5,2005,1.2637814
-89.5,-115.5,2005,1.2628793
-89.5,-114.5,2005,1.2619652
-89.5,-113.5,2005,1.2610408
-89.5,-112.5,2005,1.2601075
-89.5,-111.5,2005,1.2591668
-89.5,-110.5,2005,1.2582202
-89.5,-109.5,2005,1.2572685
-89.5,-108.5,2005,1.2563132
-89.5,-107.5,2005,1.2553552
-89.5,-106.5,2005,1.2543956
-89.5,-105.5,2005,1.2534353
-89.5,-104.5,2005,1.2524749
-89.5,-103.5,2005,1.2515155
-89.5,-102.5,2005,1.2505578
-89.5,-101.5,2005,1.2496023
-89.5,-100.5,2005,1.24865
-89.5,-99.5,2005,1.2477012
-89.5,-98.5,2005,1.2467566
-89.5,-97.5,2005,1.2458167
-89.5,-96.5,2005,1.2448821
-89.5,-95.5,2005,1.2439532
-89.5,-94.5,2005,1.2430305
-89.5,-93.5,2005,1.2421144
-89.5,-92.5,2005,1.2412053
-89.5,-91.5,2005,1.2403036
-89.5,-90.5,2005,1.2394096
-89.5,-89.5,2005,1.2385237
-89.5,-88.5,2005,1.2376462
-89.5,-87.5,2005,1.2367774
-89.5,-86.5,2005,1.2359176
-89.5,-85.5,2005,1.235067
-89.5,-84.5,2005,1.2342261
-89.5,-83.5,2005,1.2333949
-89.5,-82.5,2005,1.2325737
-89.5,-81.5,2005,1.2317628
-89.5,-80.5,2005,1.2309623
-89.5,-79.5,2005,1.2301724
-89.5,-78.5,2005,1.2293934
-89.5,-77.5,2005,1.2286253
-89.5,-76.5,2005,1.2278686
