latitude,longitude,year,tas
-89.5,-179.5,2000,-0.5488094
-89.5,-178.5,2000,-0.5479468
-89.5,-177.5,2000,-0.5471258
-89.5,-176.5,2000,-0.54634655
-89.5,-175.5,2000,-0.54560935
-89.5,-174.5,2000,-0.5449143
-89.5,-173.5,2000,-0.5442617
-89.5,-172.5,2000,-0.5436516
-89.5,-171.5,2000,-0.5430842
-89.5,-170.5,2000,-0.5425596
-89.5,-169.5,2000,-0.5420779
-89.5,-168.5,2000,-0.54163927
-89.5,-167.5,2000,-0.5412436
-89.5,-166.5,2000,-0.54089105
-89.5,-165.5,2000,-0.5405816
-89.5,-164.5,2000,-0.54031533
-89.5,-163.5,2000,-0.5400921
-89.5,-162.5,2000,-0.5399119
-89.5,-161.5,2000,-0.5397748
-89.5,-160.5,2000,-0.5396805
-89.5,-159.5,2000,-0.539629
-89.5,-158.5,2000,-0.53962016
-89.5,-157.5,2000,-0.5396538
-89.5,-156.5,2000,-0.5397297
-89.5,-155.5,2000,-0.5398477
-89.5,-154.5,2000,-0.54000753
-89.5,-153.5,2000,-0.54020894
-89.5,-152.5,2000,-0.54045147
-89.5,-151.5,2000,-0.540735
-89.5,-150.5,2000,-0.54105896
-89.5,-149.5,2000,-0.5414231
-89.5,-148.5,2000,-0.5418268
-89.5,-147.5,2000,-0.5422696
-89.5,-146.5,2000,-0.54275095
-89.5,-145.5,2000,-0.54327035
-89.5,-144.5,2000,-0.54382706
-89.5,-143.5,2000,-0.54442036
-89.5,-142.5,2000,-0.54504955
-89.5,-141.5,2000,-0.5457137
-89.5,-140.5,2000,-0.54641193
-89.5,-139.5,2000,-0.54714334
-89.5,-138.5,2000,-0.5479068
-89.5,-137.5,2000,-0.5487011
-89.5,-136.5,2000,-0.549525
-89.5,-135.5,2000,-0.5503772
-89.5,-134.5,2000,-0.55125606
-89.5,-133.5,2000,-0.5521601
-89.5,-132.5,2000,-0.55308735
-89.5,-131.5,2000,-0.5540361
-89.5,-130.5,2000,-0.55500406
-89.5,-129.5,2000,-0.5559891
-89.5,-128.5,2000,-0.5569886
-89.5,-127.5,2000,-0.558
-89.5,-126.5,2000,-0.55902034
-89.5,-125.5,2000,-0.56004655
-89.5,-124.5,2000,-0.5610752
-89.5,-123.5,2000,-0.56210285
-89.5,-122.5,2000,-0.5631257
-89.5,-121.5,2000,-0.56413996
-89.5,-120.5,2000,-0.5651464
-89.5,-119.5,2000,-0.5661755
-89.5,-118.5,2000,-0.567221
-89.5,-117.5,2000,-0.5682225
-89.5,-116.5,2000,-0.5691774
-89.5,-115.5,2000,-0.57009196
-89.5,-114.5,2000,-0.57097244
-89.5,-113.5,2000,-0.5718248
-89.5,-112.5,2000,-0.5726544
-89.5,-111.5,2000,-0.57346654
-89.5,-110.5,2000,-0.5742657
-89.5,-109.5,2000,-0.5750564
-89.5,-108.5,2000,-0.5758423
-89.5,-107.5,2000,-0.5766272
-89.5,-106.5,2000,-0.5774142
-89.5,-105.5,2000,-0.5782063
-89.5,-104.5,2000,-0.57900614
-89.5,-103.5,2000,-0.579816
-89.5,-102.5,2000,-0.5806382
-89.5,-101.5,2000,-0.5814745
-89.5,-100.5,2000,-0.5823267
-89.5,-99.5,2000,-0.5831964
-89.5,-98.5,2000,-0.584085
-89.5,-97.5,2000,-0.58499366
-89.5,-96.5,2000,-0.58592355
-89.5,-95.5,2000,-0.5868756
-89.5,-94.5,2000,-0.5878508
-89.5,-93.5,2000,-0.58884996
-89.5,-92.5,2000,-0.5898736
-89.5,-91.5,2000,-0.5909225
-89.5,-90.5,2000,-0.591997
-89.5,-89.5,2000,-0.59309775
-89.5,-88.5,2000,-0.59422505
-89.5,-87.5,2000,-0.5953793
-89.5,-86.5,2000,-0.5965607
-89.5,-85.5,2000,-0.59776956
-89.5,-84.5,2000,-0.599006
-89.5,-83.5,2000,-0.6002702
-89.5,-82.5,2000,-0.60156226
-89.5,-81.5,2000,-0.60288227
-89.5,-80.5,2000,-0.6042301
-89.5,-79.5,2000,-0.60560596
-89.5,-78.5,2000,-0.60700977
-89.5,-77.5,2000,-0.60844135
-89.5,-76.5,2000,-0.60990065
-89.5,-75.5,2000,-0.6113876
-89.5,-74.5,2000,-0.612902
-89.5,-73.5,2000,-0.6144437
-89.5,-72.5,2000,-0.6160125
-89.5,-71.5,2000,-0.6176083
-89.5,-70.5,2000,-0.6192306
-89.5,-69.5,2000,-0.62087935
-89.5,-68.5,2000,-0.62255424
-89.5,-67.5,2000,-0.6242549
-89.5,-66.5,2000,-0.6259811
-89.5,-65.5,2000,-0.62773246
-89.5,-64.5,2000,-0.62950855
-89.5,-63.5,2000,-0.63130915
-89.5,-62.5,2000,-0.6331337
-89.5,-61.5,2000,-0.63498193
-89.5,-60.5,2000,-0.63685334
-89.5,-59.5,2000,-0.6387475
-89.5,-58.5,2000,-0.6406639
-89.5,-57.5,2000,-0.6426022
-89.5,-56.5,2000,-0.64456177
-89.5,-55.5,2000,-0.6465421
-89.5,-54.5,2000,-0.64854264
-89.5,-53.5,2000,-0.65056294
-89.5,-52.5,2000,-0.6526023
-89.5,-51.5,2000,-0.65466017
-89.5,-50.5,2000,-0.65673596
-89.5,-49.5,2000,-0.65882903
-89.5,-48.5,2000,-0.6609387
-89.5,-47.5,2000,-0.6630643
-89.5,-46.5,2000,-0.6652052
-89.5,-45.5,2000,-0.66736054
-89.5,-44.5,2000,-0.6695296
-89.5,-43.5,2000,-0.67171174
-89.5,-42.5,2000,-0.673906
-89.5,-41.5,2000,-0.6761117
-89.5,-40.5,2000,-0.6783278
-89.5,-39.5,2000,-0.68055356
-89.5,-38.5,2000,-0.68278795
-89.5,-37.5,2000,-0.68503004
-89.5,-36.5,2000,-0.6872789
-89.5,-35.5,2000,-0.6895334
-89.5,-34.5,2000,-0.69179255
-89.5,-33.5,2000,-0.69405514
-89.5,-32.5,2000,-0.69632
-89.5,-31.5,2000,-0.6985859
-89.5,-30.5,2000,-0.7008516
-89.5,-29.5,2000,-0.7031157
-89.5,-28.5,2000,-0.7053768
-89.5,-27.5,2000,-0.7076334
-89.5,-26.5,2000,-0.70988387
-89.5,-25.5,2000,-0.71212655
-89.5,-24.5,2000,-0.7143597
-89.5,-23.5,2000,-0.71658146
-89.5,-22.5,2000,-0.7187898
-89.5,-21.5,2000,-0.7209826
-89.5,-20.5,2000,-0.7231575
-89.5,-19.5,2000,-0.7253123
-89.5,-18.5,2000,-0.7274441
-89.5,-17.5,2000,-0.72955036
-89.5,-16.5,2000,-0.7316279
-89.5,-15.5,2000,-0.7336735
-89.5,-14.5,2000,-0.7356838
-89.5,-13.5,2000,-0.7376548
-89.5,-12.5,2000,-0.73958254
-89.5,-11.5,2000,-0.7414625
-89.5,-10.5,2000,-0.74328995
-89.5,-9.5,2000,-0.74505955
-89.5,-8.5,2000,-0.7467658
-89.5,-7.5,2000,-0.7484025
-89.5,-6.5,2000,-0.749963
-89.5,-5.5,2000,-0.7514403
-89.5,-4.5,2000,-0.7528268
-89.5,-3.5,2000,-0.7541145
-89.5,-2.5,2000,-0.7552949
-89.5,-1.5,2000,-0.75635934
-89.5,-0.5,2000,-0.7573098
-89.5,0.5,2000,-0.7582165
-89.5,1.5,2000,-0.7590786
-89.5,2.5,2000,-0.7598228
-89.5,3.5,2000,-0.7604463
-89.5,4.5,2000,-0.7609577
-89.5,5.5,2000,-0.7613653
-89.5,6.5,2000,-0.7616768
-89.5,7.5,2000,-0.7618997
-89.5,8.5,2000,-0.7620408
-89.5,9.5,2000,-0.7621063
-89.5,10.5,2000,-0.7621021
-89.5,11.5,2000,-0.76203364
-89.5,12.5,2000,-0.7619056
-89.5,13.5,2000,-0.7617226
-89.5,14.5,2000,-0.7614887
-89.5,15.5,2000,-0.7612075
-89.5,16.5,2000,-0.76088244
-89.5,17.5,2000,-0.76051676
-89.5,18.5,2000,-0.7601132
-89.5,19.5,2000,-0.7596742
-89.5,20.5,2000,-0.75920236
-89.5,21.5,2000,-0.75869966
-89.5,22.5,2000,-0.7581683
-89.5,23.5,2000,-0.75760984
-89.5,24.5,2000,-0.7570262
-89.5,25.5,2000,-0.75641876
-89.5,26.5,2000,-0.75578904
-89.5,27.5,2000,-0.7551383
-89.5,28.5,2000,-0.7544678
-89.5,29.5,2000,-0.7537786
-89.5,30.5,2000,-0.7530717
-89.5,31.5,2000,-0.7523482
-89.5,32.5,2000,-0.7516089
-89.5,33.5,2000,-0.7508547
-89.5,34.5,2000,-0.75008625
-89.5,35.5,2000,-0.7493044
-89.5,36.5,2000,-0.7485098
-89.5,37.5,2000,-0.7477031
-89.5,38.5,2000,-0.7468848
-89.5,39.5,2000,-0.7460556
-89.5,40.5,2000,-0.7452159
-89.5,41.5,2000,-0.74436617
-89.5,42.5,2000,-0.743507
-89.5,43.5,2000,-0.74263877
-89.5,44.5,2000,-0.7417618
-89.5,45.5,2000,-0.74087656
-89.5,46.5,2000,-0.73998344
-89.5,47.5,2000,-0.7390827
-89.5,48.5,2000,-0.7381747
-89.5,49.5,2000,-0.7372597
-89.5,50.5,2000,-0.73633814
-89.5,51.5,2000,-0.7354101
-89.5,52.5,2000,-0.7344759
-89.5,53.5,2000,-0.7335359
-89.5,54.5,2000,-0.7325902
-89.5,55.5,2000,-0.731639
-89.5,56.5,2000,-0.7306826
-89.5,57.5,2000,-0.7297212
-89.5,58.5,2000,-0.72875494
-89.5,59.5,2000,-0.727784
-89.5,60.5,2000,-0.7268084
-89.5,61.5,2000,-0.7258286
-89.5,62.5,2000,-0.72484446
-89.5,63.5,2000,-0.7238562
-89.5,64.5,2000,-0.72286403
-89.5,65.5,2000,-0.72186804
-89.5,66.5,2000,-0.72086823
-89.5,67.5,2000,-0.7198647
-89.5,68.5,2000,-0.7188577
-89.5,69.5,2000,-0.71784717
-89.5,70.5,2000,-0.71683323
-89.5,71.5,2000,-0.71581584
-89.5,72.5,2000,-0.7147952
-89.5,73.5,2000,-0.71377116
-89.5,74.5,2000,-0.7127439
-89.5,75.5,2000,-0.7117133
-89.5,76.5,2000,-0.7106795
-89.5,77.5,2000,-0.7096423
-89.5,78.5,2000,-0.70860183
-89.5,79.5,2000,-0.7075579
-89.5,80.5,2000,-0.7065106
-89.5,81.5,2000,-0.7054597
-89.5,82.5,2000,-0.7044051
-89.5,83.5,2000,-0.7033467
-89.5,84.5,2000,-0.7022845
-89.5,85.5,2000,-0.70121807
-89.5,86.5,2000,-0.70014733
